age,experience,education,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match,years_in_role,promotion_count,employment_type,location_type,company_size,job_satisfaction,salary
24,7,Masters,Junior,Finance,Manager,1,2,3,56,7,3,7.912019568069206,7.832916888525792,3,1,Full-time,Urban,Medium,4,57545.519834300154
53,2,Bachelors,Junior,IT,Clerk,4,18,3,50,19,11,4.362620244225413,6.004962599455965,6,0,Full-time,Rural,Medium,4,51024.57536357257
43,14,Masters,Mid,IT,Engineer,1,19,1,44,18,2,8.641647448003596,8.726149003207734,2,3,Part-time,Semi-Urban,Large,2,91913.02625185288
32,3,Bachelors,Junior,Finance,Engineer,5,4,2,51,7,1,6.099317160165032,5.102623997711014,0,2,Full-time,Urban,Small,1,56080.46595741825
33,19,Masters,Senior,Finance,Engineer,5,7,9,31,19,13,4.301078422640284,7.2884230882802585,5,3,Contract,Semi-Urban,Medium,3,99002.18612857659
39,2,Bachelors,Junior,Sales,Manager,5,16,2,52,2,11,8.781503834995586,7.6258160197920954,9,3,Part-time,Semi-Urban,Medium,5,86006.4830587461
42,22,Bachelors,Senior,IT,Manager,1,9,9,50,4,10,4.73784830630519,6.802419287609062,1,4,Part-time,Semi-Urban,Medium,1,95924.75145143607
44,17,PhD,Junior,IT,Clerk,4,2,0,58,11,14,2.087653047467364,4.000179382539244,7,2,Full-time,Urban,Large,3,94988.86830651446
32,27,Masters,Senior,Finance,Clerk,2,9,0,43,7,12,8.821658392858112,4.911509754493142,2,4,Part-time,Semi-Urban,Medium,2,102044.47009824988
26,18,PhD,Mid,HR,Manager,2,19,6,39,4,14,1.2448165849083725,7.211891484160265,8,2,Part-time,Semi-Urban,Small,4,79999.0863659007
31,19,Bachelors,Junior,HR,Manager,5,17,3,43,8,12,6.333234030798911,7.650584312501736,8,3,Contract,Urban,Large,3,110570.93520580098
59,22,Bachelors,Junior,Finance,Manager,1,1,4,39,16,6,2.7617855225810515,6.850364795530266,1,4,Part-time,Rural,Medium,2,98856.22327721736
54,18,PhD,Senior,Finance,Analyst,2,8,3,46,4,7,8.617936175896244,1.594477282329439,1,0,Contract,Rural,Large,3,88743.30891469157
41,18,Bachelors,Mid,HR,Analyst,3,10,7,40,17,7,4.072910867986192,5.946919771745527,8,0,Contract,Rural,Small,2,94737.21459408083
44,11,PhD,Senior,Sales,Manager,1,11,2,49,10,6,4.928130397877579,9.021002992979863,5,4,Contract,Semi-Urban,Small,1,63999.333989453415
31,26,PhD,Junior,Sales,Engineer,3,15,0,45,3,14,9.526527602644045,1.452564289701779,9,2,Full-time,Rural,Large,3,110933.60475028618
36,10,Masters,Senior,IT,Engineer,2,13,7,57,5,9,5.7580563459962235,4.016001695338952,3,0,Part-time,Rural,Medium,2,68759.25838040296
39,26,Masters,Senior,Sales,Clerk,5,13,0,31,18,14,2.4252968256124143,8.432678147525259,2,1,Part-time,Semi-Urban,Medium,3,128057.51060264272
